A	0.0437	0.1285	0.1354	0.1273	0.1434	0.1521	0.1565	0.1549	0.1424	0.1358	0.1828	0.1955
B	0.0456	0.1936	0.2060	0.2057	0.2301	0.2433	0.2956	0.2769	0.2199	0.2250	0.3214	0.3337
C	0.0884	0.3528	0.3527	0.3747	0.4172	0.4118	0.5491	0.5250	0.3807	0.4073	0.5902	0.5688
D	0.0867	0.6461	0.6071	0.6406	0.7375	0.6902	0.8452	0.8674	0.6542	0.6773	0.9371	0.8761
E	1.3191	0.9776	0.9288	0.9136	1.0500	1.0065	1.0633	1.1380	0.9809	0.9427	1.1752	1.1513
F	1.2968	1.1749	1.1956	1.1181	1.2063	1.2418	1.2047	1.2434	1.2274	1.1481	1.2508	1.3136
G	1.3359	1.2360	1.3214	1.2700	1.2462	1.3339	1.3151	1.2605	1.3207	1.2979	1.2653	1.3484
H	2.1642	1.2725	1.3239	1.3669	1.2844	1.3216	1.3859	1.2973	1.3083	1.3772	1.3071	1.3120
